                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 0.5681,                0.37132,                0.82666,                0.97154,                 0.9708,                0.98541,                0.86176,                0.53566,                0.30633,                0.81882,               0.002674,               0.002674,               0.002674
                     77,                 0.5697,                0.37508,                 0.8303,                0.97158,                0.96948,                0.98622,                0.86318,                0.53226,                0.30283,                0.81861,               0.002575,               0.002575,               0.002575
                     78,                0.56681,                0.37363,                0.83009,                0.97274,                0.97069,                0.98651,                0.86274,                0.53151,                0.30243,                0.81822,               0.002476,               0.002476,               0.002476
                     79,                0.56361,                0.36174,                0.82666,                0.97239,                0.96811,                0.98607,                0.86444,                0.53207,                0.30307,                0.81875,               0.002377,               0.002377,               0.002377
                     80,                0.56762,                0.37064,                0.82936,                0.96915,                0.97187,                0.98657,                0.86473,                0.53172,                0.30169,                0.81822,               0.002278,               0.002278,               0.002278
                     81,                0.56812,                0.36706,                  0.826,                 0.9712,                0.96899,                0.98594,                0.86456,                0.52915,                0.30379,                 0.8178,               0.002179,               0.002179,               0.002179
                     82,                0.56646,                0.36192,                 0.8247,                0.97149,                0.96849,                 0.9864,                0.86525,                0.52741,                 0.3016,                0.81746,                0.00208,                0.00208,                0.00208
                     83,                  0.563,                  0.366,                0.82796,                0.97133,                0.97076,                0.98639,                0.86567,                0.52725,                0.29935,                0.81776,               0.001981,               0.001981,               0.001981
                     84,                0.56013,                0.36264,                0.82669,                0.97349,                0.96975,                0.98648,                0.86583,                0.52681,                0.30083,                0.81777,               0.001882,               0.001882,               0.001882
                     85,                0.55494,                0.35282,                0.82214,                0.97365,                 0.9691,                 0.9862,                0.86617,                0.52546,                0.29985,                0.81713,               0.001783,               0.001783,               0.001783
                     86,                0.55244,                0.35179,                0.82552,                0.97174,                0.97129,                 0.9867,                0.86611,                0.52421,                0.29758,                0.81684,               0.001684,               0.001684,               0.001684
                     87,                0.55514,                0.35317,                0.82437,                0.97214,                0.97135,                0.98708,                0.86708,                 0.5246,                0.29665,                0.81722,               0.001585,               0.001585,               0.001585
                     88,                0.55172,                0.34991,                0.82323,                0.97347,                0.97017,                0.98697,                0.86811,                0.52228,                0.29524,                 0.8163,               0.001486,               0.001486,               0.001486
                     89,                0.55186,                0.34736,                 0.8257,                0.96879,                0.97458,                0.98665,                0.86822,                0.52239,                0.29529,                0.81655,               0.001387,               0.001387,               0.001387
                     90,                0.54495,                 0.3411,                0.82443,                0.97284,                0.96989,                 0.9866,                0.86963,                0.52218,                0.29495,                0.81653,               0.001288,               0.001288,               0.001288
                     91,                0.52242,                0.31287,                0.82304,                0.97556,                0.96878,                0.98651,                0.86721,                0.52301,                0.29545,                0.81648,               0.001189,               0.001189,               0.001189
                     92,                 0.5152,                0.30207,                0.82203,                0.97471,                0.96802,                0.98656,                0.86816,                0.52344,                0.29531,                0.81663,                0.00109,                0.00109,                0.00109
                     93,                0.50711,                0.29342,                0.81896,                0.97087,                0.97212,                0.98678,                0.86893,                 0.5225,                0.29411,                0.81619,               0.000991,               0.000991,               0.000991
                     94,                0.50653,                0.29317,                0.81909,                0.97802,                0.96498,                 0.9868,                0.86886,                0.52247,                0.29393,                0.81608,               0.000892,               0.000892,               0.000892
                     95,                0.49811,                0.28854,                 0.8137,                0.97352,                0.96886,                 0.9866,                0.86867,                 0.5224,                0.29358,                0.81598,               0.000793,               0.000793,               0.000793
                     96,                0.49765,                0.28554,                0.81559,                0.97245,                0.97131,                0.98673,                0.86996,                0.52149,                0.29211,                0.81591,               0.000694,               0.000694,               0.000694
                     97,                0.49288,                0.28136,                 0.8175,                0.97386,                0.96938,                0.98669,                0.86981,                0.52139,                0.29198,                0.81583,               0.000595,               0.000595,               0.000595
                     98,                0.49327,                0.28111,                0.81297,                0.97647,                0.96737,                0.98651,                0.87068,                 0.5214,                0.29225,                0.81586,               0.000496,               0.000496,               0.000496
                     99,                0.49196,                0.27705,                0.81432,                0.97527,                0.96859,                0.98671,                 0.8707,                0.52111,                0.29162,                0.81554,               0.000397,               0.000397,               0.000397
                    100,                0.48638,                0.27715,                0.81305,                0.97538,                0.96872,                0.98666,                0.87056,                0.52009,                0.29097,                0.81542,               0.000298,               0.000298,               0.000298
