                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.49971,                0.29138,                0.81284,                0.97413,                0.98146,                0.98899,                0.89055,                0.48539,                0.25906,                0.80976,               0.002872,               0.002872,               0.002872
                     75,                0.49997,                0.29852,                0.81391,                 0.9764,                0.98092,                0.98891,                0.89027,                0.48491,                0.25911,                0.80981,               0.002773,               0.002773,               0.002773
                     76,                0.50596,                0.29579,                0.81529,                0.97607,                0.98128,                0.98897,                0.89019,                 0.4848,                0.25864,                 0.8098,               0.002674,               0.002674,               0.002674
                     77,                0.49873,                0.29866,                0.81757,                0.97636,                0.98121,                0.98879,                0.88959,                0.48452,                0.25864,                0.80961,               0.002575,               0.002575,               0.002575
                     78,                0.49762,                0.29684,                0.81765,                0.97609,                0.98179,                0.98877,                0.89021,                 0.4843,                0.25817,                0.80964,               0.002476,               0.002476,               0.002476
                     79,                0.49204,                0.28883,                0.81283,                0.97752,                0.98019,                0.98891,                0.89103,                0.48331,                 0.2578,                0.80937,               0.002377,               0.002377,               0.002377
                     80,                0.49358,                0.28598,                0.81308,                0.97676,                0.97914,                0.98909,                0.89191,                0.48291,                0.25704,                0.80919,               0.002278,               0.002278,               0.002278
                     81,                0.48778,                0.28327,                0.81272,                0.97676,                0.98178,                0.98915,                0.89221,                0.48242,                0.25659,                0.80899,               0.002179,               0.002179,               0.002179
                     82,                0.49135,                0.28653,                0.81281,                0.97654,                0.98189,                0.98909,                0.89165,                 0.4822,                 0.2561,                  0.809,                0.00208,                0.00208,                0.00208
                     83,                0.48647,                0.28239,                0.81508,                0.97588,                  0.981,                0.98903,                0.89207,                0.48188,                0.25589,                0.80889,               0.001981,               0.001981,               0.001981
                     84,                0.48782,                0.28479,                 0.8149,                0.97581,                  0.981,                0.98903,                0.89118,                0.48199,                0.25527,                0.80889,               0.001882,               0.001882,               0.001882
                     85,                0.47956,                0.27734,                0.81238,                0.97576,                 0.9814,                0.98908,                0.89128,                 0.4821,                 0.2552,                0.80886,               0.001783,               0.001783,               0.001783
                     86,                 0.4817,                0.27853,                0.81335,                0.97508,                 0.9807,                0.98905,                0.89198,                0.48188,                0.25468,                0.80879,               0.001684,               0.001684,               0.001684
                     87,                0.47532,                 0.2732,                0.81275,                0.97625,                0.98017,                0.98906,                0.89214,                0.48156,                0.25451,                0.80865,               0.001585,               0.001585,               0.001585
                     88,                0.47367,                0.27344,                0.81111,                 0.9776,                0.97881,                0.98918,                0.89245,                0.48092,                0.25443,                0.80852,               0.001486,               0.001486,               0.001486
                     89,                0.46974,                0.26996,                0.81252,                0.97997,                0.97744,                0.98929,                0.89273,                0.48076,                0.25406,                0.80847,               0.001387,               0.001387,               0.001387
                     90,                  0.466,                0.26808,                0.80927,                 0.9806,                0.97733,                0.98937,                0.89294,                0.48054,                0.25325,                0.80841,               0.001288,               0.001288,               0.001288
                     91,                0.44573,                0.24582,                 0.8092,                0.98124,                0.97756,                0.98935,                0.89346,                0.48086,                0.25292,                0.80841,               0.001189,               0.001189,               0.001189
                     92,                0.44272,                0.24161,                0.80423,                0.98049,                0.97785,                 0.9894,                0.89387,                0.48094,                0.25248,                0.80845,                0.00109,                0.00109,                0.00109
                     93,                0.43509,                 0.2382,                0.80442,                0.98048,                0.97898,                0.98945,                0.89342,                0.48088,                0.25211,                0.80849,               0.000991,               0.000991,               0.000991
                     94,                 0.4377,                0.23671,                0.80696,                0.98111,                0.97817,                0.98948,                0.89319,                0.48071,                0.25159,                0.80853,               0.000892,               0.000892,               0.000892
                     95,                0.43134,                0.23326,                0.80329,                0.98079,                0.97741,                0.98945,                0.89345,                0.48068,                0.25198,                 0.8085,               0.000793,               0.000793,               0.000793
                     96,                0.42743,                0.23128,                0.80283,                0.97887,                0.97971,                0.98947,                0.89366,                0.48081,                0.25142,                0.80848,               0.000694,               0.000694,               0.000694
                     97,                0.42052,                0.22641,                0.80379,                0.97687,                0.98223,                0.98951,                0.89379,                0.48079,                0.25146,                0.80846,               0.000595,               0.000595,               0.000595
                     98,                0.42402,                0.23022,                0.80082,                0.97658,                0.98256,                 0.9895,                  0.894,                 0.4807,                 0.2514,                0.80849,               0.000496,               0.000496,               0.000496
                     99,                0.41789,                0.22537,                0.80058,                0.97747,                0.98109,                0.98949,                0.89435,                 0.4807,                0.25099,                0.80847,               0.000397,               0.000397,               0.000397
                    100,                0.41286,                0.22073,                0.80259,                0.97699,                0.98158,                0.98944,                0.89412,                0.48042,                 0.2509,                0.80843,               0.000298,               0.000298,               0.000298
